t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z
31.533,296.753417969,79.7078094482,307.0,149.0,278.0,8.0,1095.109375,322.65625,2283.625,1192.62756348,-235.28024292,2313.625,932.519958496,885.10369873,2253.625
31.564,299.35357666,49.7902145386,307.0,151.0,274.0,8.0,1088.703125,548.515625,2227.90625,1163.90563965,-245.449447632,2257.90625,878.635009766,863.220336914,2197.90625
31.595,299.403442383,49.1552810669,307.0,151.0,266.0,8.0,1090.37280273,554.126525879,2230.52441406,1165.25524902,-245.734069824,2260.52441406,817.949707031,864.248596191,2200.52441406
31.627,299.113952637,48.041343689,307.0,149.0,258.0,8.0,1088.30310059,562.940063477,2230.92333984,1165.46081543,-229.920837402,2260.92333984,756.354614258,864.405273438,2200.92333984
31.658,298.023895264,47.044708252,307.0,149.0,240.0,8.0,1076.11608887,568.802612305,2223.36279297,1161.56347656,-229.151977539,2253.36279297,615.311401367,861.435974121,2193.36279297
31.689,293.29510498,48.9772949219,307.0,149.0,232.0,8.0,1045.88037109,557.269104004,2237.55273438,1168.87817383,-230.595016479,2267.55273438,557.363037109,867.008972168,2207.55273438
31.72,292.38583374,50.1582641602,307.0,151.0,226.0,8.0,1026.9161377,541.76184082,2212.0703125,1155.74243164,-243.727981567,2242.0703125,505.0184021,857.000854492,2182.0703125
31.752,290.32611084,51.4066925049,307.0,153.0,226.0,8.0,983.886474609,517.839660645,2152.8762207,1125.22912598,-252.602401733,2182.8762207,491.318511963,833.752563477,2122.8762207
31.798,287.34777832,52.8598098755,307.0,167.0,236.0,8.0,975.198486328,514.143249512,2183.77099609,1141.15478516,-364.858947754,2213.77099609,573.994384766,845.886413574,2153.77099609
31.83,286.963623047,58.3094787598,307.0,169.0,236.0,8.0,965.46484375,469.110931396,2168.51611328,1133.29125977,-377.763671875,2198.51611328,569.928833008,839.895080566,2138.51611328
31.861,283.059356689,62.7751312256,307.0,169.0,234.0,8.0,932.695983887,433.720855713,2161.37939453,1129.61242676,-376.537384033,2191.37939453,553.078735352,837.092163086,2131.37939453
31.908,280.757476807,62.9922447205,307.0,167.0,228.0,8.0,915.627563477,432.253723145,2162.27197266,1130.07250977,-361.315643311,2192.27197266,508.44732666,837.442687988,2132.27197266
31.939,277.879241943,63.398563385,307.0,167.0,224.0,8.0,893.939147949,429.237884521,2162.59960938,1130.24133301,-361.369628906,2192.59960938,478.612213135,837.571350098,2132.59960938
31.97,275.169036865,63.9564399719,307.0,165.0,220.0,8.0,872.31463623,424.485717773,2159.94604492,1128.87353516,-345.573486328,2189.94604492,448.140655518,836.52923584,2129.94604492
32.002,268.068695068,63.1262893677,307.0,165.0,216.0,8.0,815.926940918,429.400817871,2153.06347656,1125.32568359,-344.487426758,2183.06347656,416.913085938,833.82611084,2123.06347656
32.033,261.674591064,66.0693206787,305.0,165.0,214.0,8.0,779.055175781,413.229797363,2185.04956055,1126.27893066,-349.534820557,2215.04956055,408.080169678,846.388549805,2155.04956055
32.064,260.666656494,64.1334991455,303.0,167.0,210.0,8.0,760.873718262,422.258453369,2155.42260742,1095.88745117,-360.186767578,2185.42260742,372.657440186,834.752624512,2125.42260742
32.095,257.734344482,63.2303695679,299.0,167.0,208.0,8.0,737.859191895,428.590332031,2152.93945312,1064.02294922,-359.777496338,2182.93945312,357.333099365,833.777404785,2122.93945312
32.127,254.637802124,63.556854248,295.0,167.0,204.0,8.0,704.622436523,420.245391846,2123.23120117,1019.33966064,-354.881195068,2153.23120117,322.971618652,822.109619141,2093.23120117
32.158,252.603363037,63.5453071594,291.0,165.0,202.0,8.0,690.017700195,420.662200928,2124.90234375,989.904724121,-340.043579102,2154.90234375,308.53729248,822.765930176,2094.90234375
32.189,249.126098633,60.5674819946,287.0,163.0,198.0,8.0,663.775024414,442.629211426,2123.83837891,959.20489502,-324.770111084,2153.83837891,279.010894775,822.348022461,2093.83837891
32.236,244.240875244,59.6206207275,285.0,171.0,196.0,8.0,636.324829102,456.083770752,2154.07836914,957.354431152,-390.600524902,2184.07836914,268.143707275,834.22467041,2124.07836914
32.283,242.16986084,63.1678581238,279.0,175.0,192.0,8.0,625.315002441,432.494140625,2170.15991211,918.112060547,-424.337554932,2200.15991211,240.154541016,840.540649414,2140.15991211
32.314,240.478439331,63.7244186401,277.0,177.0,190.0,8.0,616.535400391,431.120239258,2184.66040039,908.630981445,-442.666351318,2214.66040039,226.670288086,846.235656738,2154.66040039
32.408,230.106109619,65.2639007568,267.0,179.0,182.0,8.0,537.012878418,419.278533936,2184.41088867,830.876525879,-458.146881104,2214.41088867,166.205688477,846.137695312,2154.41088867
32.439,221.704559326,66.1945724487,263.0,179.0,180.0,8.0,468.694976807,408.694702148,2166.09985352,793.201904297,-454.358428955,2196.09985352,149.811813354,838.946105957,2136.09985352
32.47,223.506317139,66.0472793579,261.0,181.0,180.0,8.0,480.628845215,408.325195312,2158.2331543,775.013916016,-468.077636719,2188.2331543,149.26008606,835.856506348,2128.2331543
32.502,220.631851196,65.7117843628,257.0,181.0,174.0,8.0,457.961700439,410.047180176,2153.94091797,742.860290527,-467.159515381,2183.94091797,104.271308899,834.170715332,2123.94091797
32.533,218.153808594,66.2552947998,253.0,177.0,168.0,8.0,437.147766113,404.003967285,2143.65795898,708.873291016,-434.47076416,2173.65795898,59.2950973511,830.132141113,2113.65795898
32.564,216.991500854,61.6283493042,249.0,177.0,164.0,8.0,415.709289551,425.776367188,2080.10424805,658.549499512,-421.767669678,2110.10424805,28.7561016083,805.171630859,2050.10424805
32.595,210.118377686,64.7021102905,245.0,177.0,160.0,8.0,362.760253906,400.24987793,2064.08789062,624.17779541,-418.56628418,2094.08789062,0.0,798.881225586,2034.08789062
32.627,208.507293701,65.0604858398,243.0,173.0,158.0,8.0,351.707366943,398.344909668,2067.6640625,610.532043457,-389.857910156,2097.6640625,-14.2908039093,800.285766602,2037.6640625
32.658,206.948181152,65.4130477905,239.0,173.0,160.0,8.0,340.39541626,395.779968262,2067.61889648,581.096374512,-389.849517822,2097.61889648,0.0,800.268005371,2037.61889648
32.689,203.805648804,66.4118499756,237.0,173.0,160.0,8.0,316.936279297,387.713195801,2063.22851562,565.199707031,-389.033569336,2093.22851562,0.0,798.543701172,2033.22851562
32.736,197.233856201,68.5798187256,235.0,173.0,166.0,8.0,271.214660645,374.548980713,2077.21069336,554.196411133,-391.632171631,2107.21069336,43.0733413696,804.03515625,2047.21069336
32.752,195.026611328,68.7790679932,233.0,173.0,166.0,8.0,255.222885132,373.223388672,2077.91064453,539.596984863,-391.762268066,2107.91064453,43.0880699158,804.310119629,2047.91064453
32.798,192.40512085,68.9697113037,231.0,177.0,164.0,8.0,235.536010742,370.912780762,2072.76123047,523.531494141,-420.299926758,2102.76123047,28.6531047821,802.287658691,2042.76123047
32.845,191.117233276,69.3131408691,227.0,173.0,160.0,8.0,224.495697021,365.680908203,2057.37036133,490.420776367,-387.944763184,2087.37036133,0.0,796.242980957,2027.37036133
32.877,190.076385498,69.3997497559,225.0,173.0,154.0,8.0,216.802200317,364.746154785,2055.62353516,475.383148193,-387.620147705,2085.62353516,-42.6191482544,795.556945801,2025.62353516
32.908,188.560592651,69.8305587769,223.0,173.0,142.0,8.0,205.851669312,361.598327637,2055.38256836,460.702667236,-387.5753479,2085.38256836,-127.842163086,795.462280273,2025.38256836
32.939,185.409759521,70.1123352051,221.0,177.0,132.0,8.0,183.15007019,359.583496094,2055.47460938,446.096954346,-416.844665527,2085.47460938,-198.87461853,795.498413086,2025.47460938
32.97,183.223953247,70.18800354,219.0,181.0,126.0,8.0,167.100845337,358.406921387,2051.86132812,430.723236084,-445.324035645,2081.86132812,-241.059768677,794.079284668,2021.86132812
33.002,180.839370728,70.130645752,217.0,183.0,124.0,8.0,149.690292358,358.214050293,2048.3984375,415.430358887,-459.159790039,2078.3984375,-254.802658081,792.719238281,2018.3984375
33.033,178.215286255,70.4385299683,213.0,185.0,122.0,8.0,130.711212158,355.648498535,2046.36132812,385.898651123,-473.271942139,2076.36132812,-268.686889648,791.919189453,2016.36132812
33.064,175.833358765,70.6590270996,211.0,187.0,122.0,8.0,113.418579102,353.442504883,2042.7565918,370.691833496,-486.987182617,2072.7565918,-268.206542969,790.503479004,2012.7565918
33.095,173.626235962,71.4052886963,205.0,191.0,124.0,8.0,97.411239624,347.393676758,2038.63012695,326.429870605,-515.033752441,2068.63012695,-253.569503784,788.882751465,2008.63012695
33.127,166.570236206,72.8512573242,203.0,191.0,124.0,8.0,46.3260650635,332.441192627,2010.71362305,307.712371826,-508.083282471,2040.71362305,-250.045318604,777.918640137,1980.71362305
33.174,163.98777771,72.0068664551,201.0,193.0,122.0,8.0,28.003692627,337.025512695,2002.5769043,292.230407715,-520.31262207,2032.5769043,-262.852478027,774.723022461,1972.5769043
33.205,159.705291748,72.258392334,197.0,191.0,118.0,8.0,-2.0680398941,335.022583008,2001.16333008,263.536743164,-505.705535889,2031.16333008,-290.312927246,774.16784668,1971.16333008
