t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z
428.249,152.024978638,191.043457031,211.0,233.0,100.0,80.0,-38.484375,-342.828125,1376.125,251.471420288,-557.181762695,1406.125,-283.224700928,188.816452026,1346.125
428.28,151.513641357,189.721008301,209.0,233.0,100.0,78.0,-41.3916854858,-340.059631348,1390.90332031,244.149078369,-563.037719727,1420.90332031,-286.334075928,200.433853149,1360.90332031
428.312,155.226165771,175.133361816,207.0,233.0,102.0,78.0,-25.3192024231,-292.413330078,1512.47497559,254.220504761,-611.210876465,1542.47497559,-301.515686035,218.338928223,1482.47497559
428.343,154.042999268,173.182617188,207.0,233.0,104.0,74.0,-32.1143112183,-286.708679199,1537.3638916,258.322509766,-621.073242188,1567.3638916,-296.006103516,243.147842407,1507.3638916
428.374,154.449371338,170.364440918,203.0,233.0,104.0,72.0,-30.1972351074,-273.998626709,1551.421875,238.457290649,-626.643737793,1581.421875,-298.766723633,256.085723877,1521.421875
428.405,154.707260132,165.492431641,203.0,231.0,104.0,68.0,-29.1514530182,-250.564331055,1570.67236328,241.360015869,-623.045654297,1600.67236328,-302.54699707,280.936462402,1540.67236328
428.437,154.37399292,163.082260132,201.0,231.0,106.0,64.0,-31.3790245056,-240.290893555,1590.5390625,232.990341187,-630.778564453,1620.5390625,-295.503662109,306.448242188,1560.5390625
428.468,155.421325684,159.295135498,201.0,231.0,104.0,62.0,-26.4468727112,-226.972229004,1647.17358398,241.132858276,-652.822998047,1677.17358398,-317.569793701,328.911560059,1617.17358398
428.499,155.749420166,154.021530151,201.0,231.0,104.0,62.0,-24.9891471863,-200.012435913,1676.52001953,245.352111816,-664.245788574,1706.52001953,-323.332672119,334.880249023,1646.52001953
428.53,154.988479614,150.303710938,199.0,231.0,106.0,58.0,-29.8484745026,-180.48789978,1698.47021484,236.385574341,-672.789672852,1728.47021484,-315.941497803,362.747650146,1668.47021484
428.577,154.461883545,148.125640869,199.0,231.0,106.0,56.0,-33.2970695496,-169.101287842,1714.54943848,238.584564209,-679.048400879,1744.54943848,-318.98626709,378.057800293,1684.54943848
428.624,154.634216309,143.961410522,197.0,231.0,104.0,54.0,-32.7087173462,-146.063751221,1738.34375,229.436752319,-688.310119629,1768.34375,-335.473175049,395.379089355,1708.34375
428.655,154.187988281,140.725219727,197.0,231.0,106.0,52.0,-35.7912368774,-127.628890991,1756.12426758,231.743728638,-695.231018066,1786.12426758,-326.858886719,411.600097656,1726.12426758
428.687,154.238342285,138.368972778,197.0,231.0,106.0,50.0,-35.9894943237,-114.739601135,1781.28710938,235.008514404,-705.02532959,1811.28710938,-331.623718262,429.882629395,1751.28710938
428.718,154.381988525,135.668334961,195.0,231.0,106.0,48.0,-35.678817749,-99.5062713623,1811.06201172,225.959671021,-716.614929199,1841.06201172,-337.261901855,449.682525635,1781.06201172
428.749,153.771987915,134.890441895,195.0,231.0,106.0,48.0,-40.0683822632,-95.7987518311,1834.66906738,228.857055664,-725.803771973,1864.66906738,-341.732116699,455.642883301,1804.66906738
428.78,152.691192627,133.15196228,193.0,231.0,106.0,46.0,-47.938369751,-86.2634963989,1870.43347168,219.918121338,-739.72467041,1900.43347168,-348.504455566,477.580200195,1840.43347168
428.812,152.315185547,131.021469116,193.0,231.0,106.0,46.0,-51.2007217407,-73.4314498901,1899.97717285,223.336914062,-751.224243164,1929.97717285,-354.098876953,485.246612549,1869.97717285
428.843,151.701324463,128.052352905,193.0,231.0,108.0,46.0,-56.0652236938,-54.4010467529,1926.59265137,226.416854858,-761.584106445,1956.59265137,-345.837341309,492.153137207,1896.59265137
428.874,151.326721191,126.161880493,193.0,231.0,108.0,44.0,-59.6346359253,-42.3670501709,1960.74279785,230.368713379,-774.876708984,1990.74279785,-352.06451416,514.555786133,1930.74279785
428.905,150.769775391,125.082672119,191.0,231.0,108.0,44.0,-64.0549163818,-35.2722244263,1979.00085449,218.391815186,-781.983459473,2009.00085449,-355.393798828,519.421691895,1949.00085449
428.952,149.991989136,122.179954529,189.0,231.0,108.0,42.0,-70.897605896,-15.4429779053,2020.17675781,208.48928833,-798.010803223,2050.17675781,-362.902099609,544.353149414,1990.17675781
428.968,148.927597046,119.194694519,189.0,231.0,110.0,40.0,-79.5544891357,5.78605651855,2048.93676758,211.414001465,-809.20526123,2078.93676758,-353.986907959,566.37902832,2018.93676758
428.999,148.557159424,117.29259491,187.0,231.0,110.0,38.0,-83.7266693115,19.809928894,2086.58325195,200.398162842,-823.858825684,2116.58325195,-360.587615967,591.363647461,2056.58325195
429.046,147.509155273,113.898963928,185.0,231.0,110.0,38.0,-95.2001647949,46.4995956421,2173.45751953,193.169769287,-857.67376709,2203.45751953,-375.819549561,616.344055176,2143.45751953
429.093,147.44052124,112.733802795,185.0,225.0,112.0,36.0,-95.2357635498,55.097984314,2162.39013672,192.199554443,-807.238037109,2192.39013672,-358.923919678,628.116821289,2132.39013672
429.124,146.878936768,110.871795654,185.0,219.0,108.0,34.0,-100.617584229,69.9987411499,2186.80712891,194.340087891,-769.586791992,2216.80712891,-393.286590576,650.435546875,2156.80712891
429.187,149.410675049,103.387832642,187.0,211.0,114.0,32.0,-87.1210098267,136.672515869,2346.17456055,224.976287842,-758.253173828,2376.17456055,-373.614471436,714.740600586,2316.17456055
429.218,149.608734131,102.700012207,187.0,211.0,114.0,32.0,-85.543258667,142.417282104,2347.59130859,225.110427856,-758.705200195,2377.59130859,-373.842987061,715.17779541,2317.59130859
429.312,148.875869751,100.536071777,187.0,211.0,114.0,30.0,-93.6541595459,163.866973877,2400.85839844,230.1537323,-775.703063965,2430.85839844,-382.435302734,748.242919922,2370.85839844
429.358,150.035858154,99.3329162598,187.0,211.0,116.0,28.0,-85.0644378662,176.436004639,2434.52148438,233.3409729,-786.445251465,2464.52148438,-371.001617432,775.730651855,2404.52148438
429.405,151.093078613,98.2223205566,187.0,211.0,116.0,30.0,-75.764175415,185.245742798,2425.72827148,232.508422852,-783.639282227,2455.72827148,-369.644866943,756.091796875,2395.72827148
429.437,151.929290771,97.2487030029,187.0,209.0,118.0,28.0,-69.2170791626,195.122589111,2445.72070312,234.401306152,-772.655944824,2475.72070312,-355.787322998,779.343688965,2415.72070312
429.468,152.573303223,95.828994751,187.0,207.0,120.0,28.0,-64.2765960693,209.19519043,2468.09863281,236.520050049,-762.119934082,2498.09863281,-341.983978271,786.563110352,2438.09863281
429.499,152.385421753,94.0536804199,187.0,205.0,120.0,28.0,-67.280418396,229.254989624,2519.69799805,241.405487061,-759.979980469,2549.69799805,-349.22164917,803.209777832,2489.69799805
429.53,153.835220337,93.2960128784,189.0,203.0,122.0,26.0,-55.110332489,238.721359253,2549.29882812,262.297485352,-750.713562012,2579.29882812,-335.704986572,830.428039551,2519.29882812
429.562,154.985015869,91.6700897217,189.0,199.0,124.0,26.0,-45.1324501038,254.955780029,2566.40478516,264.037017822,-719.27331543,2596.40478516,-320.195800781,836.066650391,2536.40478516
429.593,156.525039673,89.7638244629,189.0,195.0,124.0,26.0,-31.9092979431,277.647583008,2618.62036133,269.347015381,-696.587158203,2648.62036133,-326.787475586,853.278259277,2588.62036133
429.624,157.1847229,88.8471832275,189.0,189.0,126.0,24.0,-26.0023574829,287.732635498,2633.88818359,270.899658203,-644.554443359,2663.88818359,-310.452880859,876.572937012,2603.88818359
429.655,158.393539429,87.2655029297,189.0,183.0,128.0,24.0,-14.9551086426,304.736328125,2654.75292969,273.021453857,-593.115600586,2684.75292969,-294.532287598,883.596862793,2624.75292969
429.687,158.781860352,83.1952209473,191.0,179.0,128.0,24.0,-11.6040973663,350.607177734,2716.57714844,298.57131958,-568.248535156,2746.57714844,-301.46975708,904.409301758,2686.57714844
429.718,159.006896973,82.7830810547,191.0,175.0,130.0,24.0,-9.52474784851,356.940979004,2735.02636719,300.576843262,-533.281433105,2765.02636719,-284.568786621,910.620117188,2705.02636719
429.749,159.203323364,81.9720001221,191.0,171.0,130.0,24.0,-7.67326927185,366.267486572,2746.6315918,301.838409424,-496.572723389,2776.6315918,-285.789642334,914.526916504,2716.6315918
429.78,159.127029419,80.7782669067,191.0,173.0,130.0,22.0,-8.48079109192,381.03515625,2770.40844727,304.423126221,-520.465270996,2800.40844727,-288.290985107,941.750488281,2740.40844727
429.812,159.236083984,80.5382843018,193.0,171.0,130.0,22.0,-7.50815010071,387.845916748,2802.77832031,327.809020996,-506.614013672,2832.77832031,-291.696289062,952.874450684,2772.77832031
429.843,159.585769653,79.3524475098,193.0,171.0,130.0,22.0,-4.11165237427,403.463317871,2830.57861328,331.026092529,-511.58581543,2860.57861328,-294.620910645,962.428161621,2800.57861328
429.874,160.011108398,76.7540969849,195.0,171.0,130.0,20.0,0.111190795898,432.98638916,2855.18847656,354.108825684,-515.987060547,2885.18847656,-297.209838867,990.699401855,2825.18847656
429.905,160.043685913,76.0140380859,193.0,171.0,130.0,20.0,0.440454483032,443.554626465,2875.66650391,336.243652344,-519.649291992,2905.66650391,-299.364135742,997.880371094,2845.66650391
429.937,160.046646118,76.1363677979,193.0,171.0,132.0,20.0,0.472225189209,444.099304199,2887.22753906,337.581512451,-521.716918945,2917.22753906,-280.541687012,1001.93444824,2857.22753906
429.968,160.428421021,75.971321106,193.0,171.0,134.0,18.0,4.3579788208,447.863647461,2900.78613281,339.150512695,-524.141723633,2930.78613281,-261.739196777,1026.82275391,2870.78613281
430.015,160.619476318,75.442489624,197.0,171.0,134.0,18.0,6.3659362793,457.890045166,2930.52734375,384.118621826,-529.460632324,2960.52734375,-264.450775146,1037.46057129,2900.52734375
