t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z
25.409,206.024429321,191.617767334,213.0,235.0,198.0,146.0,478.859985352,-745.144958496,2967.05493164,557.012573242,-1208.61242676,2997.05493164,391.372314453,-267.78112793,2937.05493164
25.44,205.423141479,190.634979248,213.0,235.0,198.0,148.0,471.495758057,-733.196594238,2960.09838867,555.719726562,-1205.80700684,2990.09838867,390.445343018,-287.696624756,2930.09838867
25.471,213.470336914,168.732498169,213.0,235.0,196.0,146.0,556.53125,-507.21875,2968.125,557.211486816,-1209.04382324,2998.125,370.908935547,-267.878692627,2938.125
25.502,213.646987915,169.075897217,213.0,235.0,194.0,146.0,557.559082031,-510.051116943,2963.81445312,556.410339355,-1207.30566406,2993.81445312,349.788879395,-267.485687256,2933.81445312
25.549,213.773712158,169.232452393,213.0,235.0,194.0,144.0,558.596130371,-511.422058105,2962.33007812,556.134460449,-1206.70703125,2992.33007812,349.611907959,-246.784942627,2932.33007812
25.596,213.666168213,169.438140869,213.0,235.0,194.0,132.0,557.001342773,-513.118408203,2959.79101562,555.662536621,-1205.68310547,2989.79101562,349.309173584,-123.285629272,2929.79101562
25.627,213.560119629,169.699508667,213.0,235.0,192.0,128.0,555.357421875,-515.327148438,2956.89892578,555.125061035,-1204.51672363,2986.89892578,328.437194824,-82.109336853,2926.89892578
25.659,213.14402771,170.098571777,213.0,235.0,192.0,124.0,549.744689941,-518.241149902,2949.93212891,553.83026123,-1201.70727539,2979.93212891,327.655426025,-40.9568748474,2919.93212891
25.69,212.708877563,170.575210571,213.0,235.0,190.0,126.0,544.483398438,-522.442626953,2945.82128906,553.066223145,-1200.04956055,2975.82128906,306.744415283,-61.3488197327,2915.82128906
25.721,212.380859375,171.135971069,213.0,235.0,190.0,124.0,538.262695312,-525.470214844,2930.40136719,550.200378418,-1193.83129883,2960.40136719,305.1222229,-40.682926178,2900.40136719
25.752,211.815551758,171.094894409,213.0,235.0,188.0,124.0,530.652954102,-523.272460938,2920.49121094,548.358581543,-1189.83483887,2950.49121094,283.807617188,-40.5439186096,2890.49121094
25.784,211.427047729,170.671127319,213.0,235.0,188.0,122.0,525.870178223,-518.140441895,2916.03295898,547.529968262,-1188.0369873,2946.03295898,283.369903564,-20.2406921387,2886.03295898
25.815,210.906982422,170.566833496,213.0,235.0,188.0,124.0,519.489501953,-516.018249512,2910.07983398,546.423583984,-1185.63623047,2940.07983398,282.785369873,-40.3978805542,2880.07983398
25.846,210.414428711,170.580047607,213.0,235.0,188.0,122.0,513.47277832,-515.159729004,2904.47851562,545.382568359,-1183.37744141,2934.47851562,282.23538208,-20.1596565247,2874.47851562
25.877,209.766448975,170.511413574,213.0,235.0,188.0,124.0,505.729187012,-513.299560547,2897.92285156,544.16418457,-1180.73376465,2927.92285156,281.591705322,-40.2273597717,2867.92285156
25.909,209.383789062,170.462677002,213.0,235.0,188.0,124.0,498.393951416,-509.28225708,2878.02026367,540.465209961,-1172.7076416,2908.02026367,279.637542725,-39.9481925964,2848.02026367
25.94,209.027587891,170.220397949,213.0,235.0,188.0,124.0,491.665405273,-503.627258301,2859.79272461,537.077575684,-1165.35705566,2889.79272461,277.847839355,-39.6925201416,2829.79272461
25.971,208.799163818,170.020584106,213.0,235.0,188.0,124.0,486.997497559,-499.186676025,2845.90112305,534.495727539,-1159.75512695,2875.90112305,276.483886719,-39.49766922,2815.90112305
26.002,208.560211182,170.294296265,213.0,235.0,186.0,124.0,481.799865723,-499.005004883,2829.38256836,531.425720215,-1153.09375,2859.38256836,255.2290802,-39.2659683228,2799.38256836
26.034,207.076858521,171.677062988,213.0,235.0,184.0,124.0,458.775817871,-503.605926514,2779.06347656,522.073730469,-1132.80175781,2809.06347656,231.361160278,-38.5601615906,2749.06347656
26.08,205.279953003,173.285842896,213.0,235.0,184.0,124.0,435.89642334,-512.966552734,2745.25537109,515.790405273,-1119.16809082,2775.25537109,228.515869141,-38.0859451294,2715.25537109
26.112,204.568710327,173.68347168,213.0,235.0,184.0,124.0,427.172576904,-514.533691406,2733.24658203,513.558532715,-1114.32519531,2763.24658203,227.505203247,-37.9175033569,2703.24658203
26.127,203.256195068,174.246780396,213.0,235.0,182.0,124.0,416.625183105,-522.481689453,2746.64599609,516.04888916,-1119.72888184,2776.64599609,209.58026123,-38.1054496765,2716.64599609
26.159,202.544586182,175.747772217,213.0,235.0,182.0,124.0,410.298522949,-537.629516602,2750.18041992,516.705749512,-1121.15405273,2780.18041992,209.852935791,-38.1550254822,2720.18041992
26.221,202.19934082,176.177398682,213.0,235.0,182.0,124.0,407.026092529,-541.848937988,2750.56616211,516.77746582,-1121.30969238,2780.56616211,209.88269043,-38.1604385376,2720.56616211
26.252,201.993286133,174.953826904,213.0,235.0,182.0,124.0,404.11618042,-528.83984375,2744.30126953,515.613098145,-1118.7833252,2774.30126953,209.399368286,-38.0725631714,2714.30126953
26.284,201.701980591,174.610244751,213.0,235.0,180.0,124.0,400.828979492,-524.899902344,2740.99267578,514.998168945,-1117.44897461,2770.99267578,190.130966187,-38.0261535645,2710.99267578
26.315,201.281204224,174.99331665,213.0,235.0,180.0,124.0,396.807678223,-528.612792969,2741.15283203,515.027893066,-1117.5135498,2771.15283203,190.142196655,-38.0284004211,2711.15283203
26.362,201.42401123,174.447067261,213.0,235.0,180.0,126.0,398.100280762,-523.256591797,2740.60058594,514.925292969,-1117.29089355,2770.60058594,190.10345459,-57.0309867859,2710.60058594
26.377,200.853179932,173.543395996,213.0,235.0,180.0,124.0,392.350982666,-514.226806641,2738.76220703,514.583618164,-1116.54956055,2768.76220703,189.974533081,-37.9948654175,2708.76220703
