t,x,y,z,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
0.002904,0.156,0.898,0.416,-84.0,,-79.0,
0.052952,0.166,0.892,0.43,-84.0,,-79.0,
0.103,0.16,0.898,0.428,-84.0,,-79.0,
0.152856,0.18,0.892,0.418,-84.0,,-79.0,
0.202904,0.172,0.894,0.44,-84.0,,-79.0,
0.252952,0.176,0.886,0.432,-84.0,,-79.0,
0.303,0.174,0.882,0.428,-84.0,,-79.0,
0.352856,0.176,0.894,0.418,-84.0,,-79.0,
0.402904,0.176,0.88,0.402,-84.0,,-79.0,
0.452952,0.168,0.896,0.414,-84.0,,-79.0,
0.503,0.158,0.886,0.438,-84.0,,-79.0,
0.553856,0.168,0.896,0.432,-85.0,,-79.0,
0.603904,0.15,0.876,0.428,-85.0,,-79.0,
0.653952,0.176,0.908,0.428,-85.0,,-79.0,
0.704,0.174,0.892,0.414,-85.0,,-79.0,
0.753856,0.176,0.888,0.432,-85.0,,-79.0,
0.803904,0.174,0.894,0.398,-85.0,,-79.0,
0.853952,0.192,0.888,0.4,-85.0,,-79.0,
0.904,0.176,0.908,0.408,-85.0,,-79.0,
0.953856,0.17,0.902,0.424,-89.0,,-81.0,
1.003904,0.162,0.888,0.412,-89.0,,-81.0,
1.053952,0.228,0.876,0.352,-89.0,,-81.0,
1.104,0.286,0.856,0.272,-89.0,,-81.0,
1.153856,0.28,0.928,0.32,-85.0,,-93.0,
1.203904,0.158,0.926,0.39,-85.0,,-93.0,
1.253952,0.11,0.93,0.432,-85.0,,-93.0,
1.304,0.112,0.94,0.464,-85.0,,-93.0,
1.353856,0.144,0.878,0.432,-86.0,,-84.0,
1.403904,0.194,0.86,0.422,-86.0,,-84.0,
1.453952,0.176,0.898,0.418,-86.0,,-84.0,
1.504,0.152,0.91,0.434,-86.0,,-84.0,
1.554856,0.13,0.902,0.434,-87.0,,-100.0,
1.604904,0.15,0.856,0.448,-87.0,,-100.0,
1.654952,0.188,0.848,0.416,-87.0,,-100.0,
1.705,0.2,0.902,0.504,-87.0,,-100.0,
1.754856,0.24,0.956,0.334,-89.0,,-90.0,
1.804904,0.142,0.906,0.726,-89.0,,-90.0,
1.854952,0.234,0.856,0.318,-89.0,,-90.0,
1.905,0.19,0.984,0.482,-89.0,,-90.0,
1.954856,0.186,0.752,0.46,-88.0,,-84.0,
2.004904,0.248,1.046,0.39,-88.0,,-84.0,
2.054952,0.176,0.722,0.44,-88.0,,-84.0,
2.105,0.168,1.02,0.446,-88.0,,-84.0,
2.154856,0.22,0.656,0.286,-95.0,,-89.0,
2.204904,0.192,0.942,0.3,-95.0,,-89.0,
2.254952,0.19,0.924,0.224,-95.0,,-89.0,
2.305,0.108,1.304,0.176,-95.0,,-89.0,
2.354856,0.142,0.988,0.158,-94.0,,-83.0,
2.404904,0.216,0.796,0.172,-94.0,,-83.0,
2.454952,0.166,0.944,0.178,-94.0,,-83.0,
2.505,0.134,1.104,0.12,-94.0,,-83.0,
2.555856,0.014,0.976,0.192,-84.0,,-96.0,
2.605904,-0.04,0.764,0.072,-84.0,,-96.0,
2.655952,0.03,0.742,-0.712,-84.0,,-96.0,
2.706,0.24,1.116,-0.77,-84.0,,-96.0,
2.755856,0.246,0.59,-0.516,-88.0,,-86.0,
2.805904,0.218,0.962,-0.42,-88.0,,-86.0,
2.855952,0.142,0.614,-0.382,-88.0,,-86.0,
2.906,0.31,0.764,-0.584,-88.0,,-86.0,
2.955856,0.322,0.806,-0.574,,,-91.0,
3.005904,0.272,0.788,-0.456,,,-91.0,
3.055952,0.254,0.54,-0.37,,,-91.0,
3.106,0.254,1.032,-0.45,,,-91.0,
3.155856,0.312,0.68,-0.448,-101.0,,-92.0,
3.205904,0.274,0.716,-0.424,-101.0,,-92.0,
3.255952,0.284,0.818,-0.388,-101.0,,-92.0,
3.306,0.368,0.654,-0.434,-101.0,,-92.0,
3.355856,0.27,0.87,-0.368,-89.0,,-87.0,
3.405904,0.286,0.77,-0.33,-89.0,,-87.0,
3.455952,0.344,0.8,-0.404,-89.0,,-87.0,
3.506,0.398,0.85,-0.34,-89.0,,-87.0,
3.555856,0.334,0.682,-0.284,-87.0,,-84.0,
3.605904,0.344,0.83,-0.264,-87.0,,-84.0,
3.655952,0.318,0.766,-0.308,-87.0,,-84.0,
3.706,0.302,0.668,-0.432,-87.0,,-84.0,
3.756856,0.318,0.7,-0.41,-91.0,,-81.0,
3.806904,0.384,0.462,-0.552,-91.0,,-81.0,
3.856952,0.408,0.732,-0.832,-91.0,,-81.0,
3.907,0.48,0.432,-0.882,-91.0,,-81.0,
3.956856,0.462,0.48,-0.766,-102.0,,-79.0,
4.006904,0.3,0.582,-0.276,-102.0,,-79.0,
4.056952,0.246,0.552,-0.42,-102.0,,-79.0,
4.107,0.44,0.812,-0.666,-102.0,,-79.0,
4.156856,0.408,0.19,-0.532,-83.0,,-100.0,
4.206904,0.326,0.672,-0.644,-83.0,,-100.0,
4.256952,0.456,0.486,-0.616,-83.0,,-100.0,
4.307,0.414,0.608,-0.532,-83.0,,-100.0,
4.356856,0.338,0.584,-0.474,-81.0,,-80.0,
4.406904,0.46,0.48,-0.648,-81.0,,-80.0,
4.456952,0.398,0.686,-0.672,-81.0,,-80.0,
4.507,0.384,0.608,-0.576,-81.0,,-80.0,
4.556856,0.334,0.542,-0.548,,,-82.0,
4.606904,0.392,0.412,-0.544,,,-82.0,
4.656952,0.414,0.526,-0.696,,,-82.0,
4.707,0.23,0.608,-0.494,,,-82.0,
4.757856,0.398,0.588,-0.724,-94.0,,-81.0,
4.807904,0.294,0.608,-0.434,-94.0,,-81.0,
4.857952,0.39,0.568,-0.592,-94.0,,-81.0,
4.908,0.264,0.568,-0.416,-94.0,,-81.0,
4.957856,0.336,0.71,-0.546,-87.0,,-77.0,
5.007904,0.296,0.738,-0.478,-87.0,,-77.0,
5.057952,0.384,0.67,-0.536,-87.0,,-77.0,
5.108,0.336,0.648,-0.498,-87.0,,-77.0,
5.157856,0.352,0.464,-0.658,-85.0,,-100.0,
5.207904,0.556,0.882,-0.592,-85.0,,-100.0,
5.257952,0.448,0.67,-0.474,-85.0,,-100.0,
5.308,0.382,0.662,-0.552,-85.0,,-100.0,
5.357856,0.12,0.776,-0.34,-95.0,,-81.0,
5.407904,0.352,0.716,-0.468,-95.0,,-81.0,
5.457952,0.334,0.696,-0.41,-95.0,,-81.0,
5.508,0.326,0.664,-0.496,-95.0,,-81.0,
5.557856,0.294,0.752,-0.506,-86.0,,-81.0,
5.607904,0.334,0.766,-0.504,-86.0,,-81.0,
5.657952,0.364,0.646,-0.474,-86.0,,-81.0,
5.708,0.332,0.646,-0.44,-86.0,,-81.0,
5.758856,0.318,0.792,-0.434,,,-81.0,
5.808904,0.31,0.732,-0.384,,,-81.0,
5.858952,0.328,0.798,-0.366,,,-81.0,
5.909,0.332,0.76,-0.308,,,-81.0,
5.958856,0.344,0.798,-0.336,-87.0,,-81.0,
6.008904,0.332,0.818,-0.334,-87.0,,-81.0,
6.058952,0.322,0.786,-0.288,-87.0,,-81.0,
6.109,0.332,0.848,-0.368,-87.0,,-81.0,
6.158856,0.338,0.808,-0.378,-90.0,,-88.0,
6.208904,0.306,0.916,-0.328,-90.0,,-88.0,
6.258952,0.4,0.856,-0.314,-90.0,,-88.0,
6.309,0.348,0.892,-0.25,-90.0,,-88.0,
6.358856,0.424,0.704,-0.104,-93.0,,-91.0,
6.408904,0.352,0.716,-0.072,-93.0,,-91.0,
6.458952,0.36,0.856,-0.164,-93.0,,-91.0,
6.509,0.376,0.926,-0.2,-93.0,,-91.0,
6.558856,0.402,0.88,-0.176,-101.0,,-92.0,
6.608904,0.398,0.83,-0.192,-101.0,,-92.0,
6.658952,0.382,0.83,-0.154,-101.0,,-92.0,
6.709,0.38,0.856,-0.2,-101.0,,-92.0,
6.759856,0.352,0.864,-0.218,-97.0,,,
6.809904,0.344,0.864,-0.238,-97.0,,,
6.859952,0.358,0.824,-0.228,-97.0,,,
6.91,0.352,0.838,-0.232,-97.0,,,
6.959856,0.354,0.856,-0.27,-96.0,,,
7.009904,0.36,0.806,-0.264,-96.0,,,
7.059952,0.368,0.792,-0.27,-96.0,,,
7.11,0.348,0.816,-0.286,-96.0,,,
7.159856,0.37,0.856,-0.274,-97.0,,-84.0,
7.209904,0.344,0.802,-0.26,-97.0,,-84.0,
7.259952,0.364,0.814,-0.264,-97.0,,-84.0,
7.31,0.346,0.83,-0.272,-97.0,,-84.0,
7.359856,0.352,0.83,-0.28,-97.0,,,
