start,end,name,index
33.701,36.984,stairs,6
43.608,46.967,hall,3
44.525,47.015,living,5
56.978,66.973,living,5
68.932,73.619,living,5
97.033,98.828,living,5
101.834,103.61,living,5
110.925,113.612,living,5
123.621,123.896,living,5
126.985,128.811,living,5
156.986,162.77,living,5
166.973,176.971,living,5
216.3,216.997,living,5
219.559,226.974,living,5
232.75,233.608,living,5
267.008,273.608,living,5
278.808,283.608,living,5
286.974,288.809,living,5
298.807,308.809,living,5
326.976,329.473,living,5
336.752,338.808,living,5
346.61,348.809,living,5
352.682,356.607,living,5
357.011,358.807,living,5
386.427,386.608,living,5
392.681,396.609,living,5
401.685,402.176,living,5
402.682,406.608,hall,3
421.596,426.608,kitchen,4
440.052,444.805,kitchen,4
448.807,456.616,kitchen,4
461.593,466.971,kitchen,4
476.616,481.594,kitchen,4
496.626,497.477,kitchen,4
506.611,508.724,kitchen,4
516.63,521.593,kitchen,4
523.81,528.711,kitchen,4
548.713,551.654,kitchen,4
561.595,563.808,kitchen,4
566.61,568.705,kitchen,4
651.612,661.593,kitchen,4
674.456,692.682,living,5
762.683,763.811,living,5
802.693,804.456,living,5
818.907,826.962,living,5
843.809,844.117,living,5
852.683,853.593,hall,3
870.467,872.685,kitchen,4
876.321,876.611,kitchen,4
930.472,936.61,kitchen,4
952.684,960.47,kitchen,4
980.468,983.591,kitchen,4
992.718,996.612,kitchen,4
1005.906,1015.907,stairs,6
1015.841,1023.592,bed2,2
1043.592,1053.593,bed2,2
1055.967,1063.594,bed2,2
1066.959,1073.596,bed2,2
1105.95,1110.468,bed2,2
1113.162,1114.596,bed2,2
1116.037,1127.062,bed2,2
1166.223,1166.609,bed2,2
1176.224,1179.709,bed2,2
1180.472,1182.316,living,5
1183.699,1186.224,bed2,2
1194.763,1196.22,bed2,2
1226.617,1235.51,bed2,2
1236.612,1246.615,bed2,2
1247.687,1256.631,bed2,2
1286.608,1288.111,bed2,2
1294.866,1296.608,bed2,2
1298.016,1306.607,bed2,2
1308.465,1318.782,bed2,2
1347.225,1356.61,bed2,2
1358.456,1362.942,bed2,2
1360.471,1365.091,stairs,6
1366.811,1370.091,stairs,6
1368.457,1378.077,toilet,8
1389.938,1399.092,living,5
1404.989,1409.092,toilet,8
1413.959,1417.923,toilet,8
1433.462,1436.695,stairs,6
1419.095,1441.88,toilet,8
1440.862,1450.504,stairs,6
1453.457,1459.59,bed1,1
1462.223,1466.808,bed1,1
1475.133,1483.458,stairs,6
1487.546,1488.01,bath,0
1490.508,1497.682,bath,0
1523.459,1526.808,bath,0
1529.593,1537.681,bath,0
1539.594,1543.465,bath,0
1549.593,1555.036,bath,0
1557.682,1560.504,bath,0
1610.504,1615.095,bath,0
1620.51,1625.091,stairs,6
1626.806,1628.207,hall,3
1626.932,1629.781,living,5
1703.459,1709.612,living,5
1709.694,1711.074,hall,3
1713.458,1715.09,stairs,6
