start,end,name,index
10.527,19.892,study,7
19.892,36.107,hall,3
36.107,451.758,living,5
451.758,456.703,hall,3
456.703,612.647,kitchen,4
612.647,612.666,hall,3
612.666,619.98,hall,3
619.98,904.98,living,5
904.98,1017.092,kitchen,4
1017.092,1037.869,stairs,6
1037.869,1380.481,bed2,2
1380.536,1385.629,stairs,6
1385.629,1457.332,toilet,8
1457.388,1472.055,stairs,6
1472.055,1515.444,bed1,1
1515.444,1528.443,stairs,6
1528.443,1716.851,bath,0
1716.851,1726.091,hall,3
1726.091,1818.814,living,5
1818.814,1823.74,hall,3
1823.74,1824.314,study,7
